Columna,Método,Tamaño,Tiempo (s)
number,timSort,247,0.0003986599999734608
number,combSort,247,0.00040145000002667075
number,selectionSort,247,0.0027339499999470716
number,quickSort,247,0.00022280000002865562
number,heapSort,247,0.0011662199999591394
number,bitonicSort,247,0.0014688099999148108
number,gnomeSort,247,0.008793289999994158
number,binaryInsertionSort,247,0.0014790999999604536
number,pigeonholeSort,247,0.002108459999999468
number,bucketSort,247,0.00011193999998795334
number,radixSort,247,0.0007050600000184204
number,treeSort,247,0.00031164000001808744
