Columna,Método,Tamaño,Tiempo (s)
pages,timSort,617,0.0016732699999920443
pages,combSort,617,0.001793560000078287
pages,selectionSort,617,0.016791740000007847
pages,quickSort,617,0.0017869899999823247
pages,heapSort,617,0.0030031199999939417
pages,bitonicSort,617,0.007138829999985319
pages,gnomeSort,617,0.05839028000000326
pages,binaryInsertionSort,617,0.007615079999959562
pages,pigeonholeSort,617,0.1151606499999616
pages,bucketSort,617,0.0003098700000009558
pages,radixSort,617,0.0016582700000071782
pages,treeSort,617,0.0013733799999499751
