Columna,Método,Tamaño,Tiempo (s)
volume,timSort,1154,0.0013860799999747542
volume,combSort,1154,0.0033441100000345613
volume,selectionSort,1154,0.05029709999998886
volume,quickSort,1154,0.001737660000071628
volume,heapSort,1154,0.005870419999973819
volume,bitonicSort,1154,0.014314619999913703
volume,gnomeSort,1154,0.16725319000006494
volume,binaryInsertionSort,1154,0.011118830000032175
volume,pigeonholeSort,1154,0.00045760000002701415
volume,bucketSort,1154,0.00033683000001474286
volume,radixSort,1154,0.0019070099999225932
volume,treeSort,1154,0.0020335399999567016
