Columna,Método,Tamaño,Tiempo (s)
year,timSort,2208,0.0026906600000074833
year,combSort,2208,0.006264949999967939
year,selectionSort,2208,0.16990347000000838
year,quickSort,2208,0.0009686700000202109
year,heapSort,2208,0.008805630000006203
year,bitonicSort,2208,0.028195870000035938
year,gnomeSort,2208,0.5331175399999666
year,binaryInsertionSort,2208,0.06109907999998541
year,pigeonholeSort,2208,0.00029813999999532824
year,bucketSort,2208,0.0005431099999441358
year,radixSort,2208,0.0040760699999736975
year,treeSort,2208,0.0016777699999693141
